CurrentAttempts,FlowsSingleOut,FlowsSingleIn,ICMPType,CurrentMaxUploadedData,RepetitionCount,DurationMax,AverageDuration,CurrentUploadedData,FlowsOut,MedianCount,FlowsIn,PacketsOut,BytesIn,TargetCount,AttackStart,SuccessFlows,CurrentTargetCount,UnsuccessFlows,Duration,TransferredData,MaxUploadedData,DurationMin,AverageCount,BytesOut,UploadedData,Attempts,PacketsIn,label,Protocols_hashed_0,Protocols_hashed_1,Protocols_hashed_2,Protocols_hashed_3,Protocols_hashed_4,Protocols_hashed_5,Protocols_hashed_6,Protocols_hashed_7,Protocols_hashed_8,Protocols_hashed_9,Success_hashed_0,Success_hashed_1,Success_hashed_2,Success_hashed_3,Success_hashed_4,Success_hashed_5,Success_hashed_6,Success_hashed_7,Success_hashed_8,Success_hashed_9,Ports_hashed_0,Ports_hashed_1,Ports_hashed_2,Ports_hashed_3,Ports_hashed_4,Ports_hashed_5,Ports_hashed_6,Ports_hashed_7,Ports_hashed_8,Ports_hashed_9,TopPorts_hashed_0,TopPorts_hashed_1,TopPorts_hashed_2,TopPorts_hashed_3,TopPorts_hashed_4,TopPorts_hashed_5,TopPorts_hashed_6,TopPorts_hashed_7,TopPorts_hashed_8,TopPorts_hashed_9,Type.1_hashed_0,Type.1_hashed_1,Type.1_hashed_2,Type.1_hashed_3,Type.1_hashed_4,Type.1_hashed_5,Type.1_hashed_6,Type.1_hashed_7,Type.1_hashed_8,Type.1_hashed_9,Distributed_hashed_0,Distributed_hashed_1,Distributed_hashed_2,Distributed_hashed_3,Distributed_hashed_4,Distributed_hashed_5,Distributed_hashed_6,Distributed_hashed_7,Distributed_hashed_8,Distributed_hashed_9
0,87642,0,0,0,0,55,0,0,88623,0,981,88633,39364,1,0,981,0,87642,55,0,0,0,0,3899876,0,0,983,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,0,0,0,0,0,0,0,2,0,2,2,438,0,0,0,0,0,0,0,0,0,0,142,0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,0,0,0,0,0,0,0,1,0,1,1,249,0,0,0,0,0,0,0,0,0,0,73,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,0,0,0,0,0,0,0,1,0,1,1,189,0,0,0,0,0,0,0,0,0,0,69,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,0,0,0,0,0,0,0,1,0,1,1,237,0,0,0,0,0,0,0,0,0,0,73,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,0,0,0,0,0,0,0,1,0,1,1,189,0,0,0,0,0,0,0,0,0,0,69,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,0,0,0,0,0,0,0,2,0,2,2,438,0,0,0,0,0,0,0,0,0,0,142,0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,0,0,0,0,9237,0,0,1,0,1,15,1664,0,0,0,0,0,9237,0,0,9237,0,3293,0,1,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,0,0,0,0,4623,0,0,1,0,1,14,1624,0,0,0,0,0,4623,0,0,4623,0,3253,0,1,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,0,0,0,0,5145,0,0,1,0,1,15,1664,0,0,0,0,0,5145,0,0,5145,0,3293,0,1,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
